name,lat,lon
Dennis Molintas District Hospital,16.5123111,120.8240445
Kapangan District Hospital,16.5749213,120.592468
Tayao Medical Clinic,16.4432794,120.59236
SLU-LHS Gerard Decaesteker Clinic,16.4173324,120.6086418
Unified Pharmacy Diagnostic Clinic,16.4500458,120.590575
Asia Nephrology Care,16.4209049,120.5916332
Gusing Norte Health Station,16.5619128,120.403906
Camp 30 Municipal Health Clinic,16.5347734,120.7041465
PROPOSED EVACUATION CENTER,16.4527642,120.581226
Tamayo-Lucaden Optical Clinic & Optical Supplies,16.4135925,120.5601517
Unnamed Facility,16.4273759,120.600298
1st Allegro Skin Clinic & Skin Spa,16.4131576,120.5974543
Unnamed Facility,16.4453503,120.5912249
FPOP Baguio-Benguet,16.4149784,120.5949544
Quirino Hill District Health Center,16.4289185,120.5911564
German Hemeopathic Clinic,16.4185308,120.5946651
Chiropractic Clinic,16.4196868,120.593958
Bio-Dynamic Massage Therapy Clinic,16.4196868,120.593958
Tayug Health Center,16.0270516,120.7440357
Camp 8 Health Center,16.3985854,120.6003086
Sta. Ines Clinic,16.4033803,120.59985
Saint Camillus Maternity and Polyclinic,16.0348008,120.4949068
"Dr. Kim, Hyun TCM Acupuncture",16.4110682,120.5999842
Itogon Municipal Health Office,16.3600635,120.6770846
Engineer's Hill Health Center,16.4070409,120.6018966
Francia Sur Health Center,16.3410901,120.4201599
Valera-Peña Medical Clinic,16.2302654,120.4868693
Pangasinan Eye Center,15.9733053,120.5713208
Clinica Medenilla,16.0265519,120.7463524
Divine Salvation Medical Clinic,16.0446967,120.4947082
Asingan Diagnostic Clinic,16.0037137,120.6684449
Santo Domingo District Hospital,15.5914781,120.8755938
Bautista Maternal Clinic,15.8115099,120.4760003
Saint Madeleine Diagnostic Center,15.5912885,120.8761598
Fabro Medical Clinic,15.8976917,120.6251585
Rosales Chua Pun Memorial Hospital,15.9040482,120.6362284
Posadas Family Clinic,15.8973071,120.6265077
Señor Santo Niño Hospital,15.6892109,120.4149035
Maternity and Children’s Clinic,15.6558878,120.7678065
RHU1 Gerona,15.6065738,120.6048796
Unnamed Facility,15.6054778,120.5989005
Solano Medical Clinic And Laboratory,15.6058238,120.5990297
Bañez Clinic,15.8817332,120.5994693
Dr. Marcelo M. Chan Memorial Hospital,15.8835052,120.598242
Skin Clinic,15.6058914,120.5993855
"Eyes, Ears, Throat Diseases",15.6695313,120.5812264
Yohanah Multispecialty Clinic,15.6060903,120.5991288
Balbas Jones-Ines Clinic,15.6054223,120.5992737
Let's Face It,15.8800104,120.6025124
Family Health Medical Clinic,15.7323133,120.6368186
Victoria Clinic,15.5696274,120.667584
JC Gerardo Childrens's Clinic,15.5764934,120.6830209
Hemotek Renal Center,15.9623774,120.5732466
Del Carmen Medical Clinic and Hospital Inc.,15.8829065,120.5988134
Rosario-Espinoza Family Medicine Clinic,15.9108349,120.4166418
Infinicare Dialysis,15.9080259,120.4176329
Solis-Khoo Bahay Paanakan,15.9072759,120.4181311
St. Jude Medical Clinic,15.9183692,120.4148952
Peralta Medical Clinic and Hospital,15.898655,120.6729336
RHU3,15.5760843,120.6106265
Mabalacat District Hospital,15.1924183,120.58039
Saint Catherine of Alexandria Medical Center,15.1352338,120.5851673
Armando Garcia Hospital,15.1422283,120.5892671
Mimosa Medical Clinic and Paramedic,15.182634,120.5202424
Sindalan Health Center,15.0779524,120.6420431
Saint Catherine of Alexandria Annex & Medical Arts Building,15.1301928,120.5760993
Enriquez Dental Clinic,15.1631303,120.5554032
MMM Medical Clinic,15.1659843,120.5830097
FGM Lying In Clinic,15.1479886,120.7643562
Laboratory,15.3219015,120.8780197
Unnamed Facility,15.3148201,120.8631968
Health Sub Center,15.2707595,120.8744814
Healthmark Medical Clinic,15.3233946,120.6566968
Unnamed Facility,15.4333391,120.6454807
Unnamed Facility,15.3202591,120.6577106
Accumed Diagnostic Center - Mabalacat,15.2091137,120.5792451
Poblacion Health Center,15.1504508,120.7723446
"Dr. Kim, Hyun Chinese Acupuncture Clinic",15.1640288,120.5569032
Accumed Diagnostic Center,15.1413759,120.5954238
UP Clark Clinic,15.1954884,120.5314009
Clinica Henson,15.1510944,120.5923496
Fabros Medical Multispecialty Clinic,15.335113,120.5911364
Soliman Farm and Farm-based Semen Processing Laboratory,15.5176961,120.6059131
Greenfields Dermatology,15.0856573,120.6347315
"Caroline I. Feliciano, MD - Ob-Gyn and Medical Clinic",15.1717147,120.588861
Angeles City Reproductive Health and Wellness Center,15.1668633,120.5875265
Mabalacat Regional Health Unit II,15.1749027,120.586376
St. Isabella Multi Specialty Clinic,15.0931696,120.827333
Maniago Children's Clinic,15.0923707,120.76619
SGDC OB Gyne and Ultrasound Clinic,15.0923105,120.766197
Eye Clinic,15.0919285,120.7658366
Greenfields Dermatology,15.0920043,120.7658165
San Joaquin Health Center,15.0960694,120.7645371
Santiago Health Station,15.108041,120.7709643
San Bartolome Health Center,15.0992178,120.768211
OB-GYNE and Pediatric Clinic,15.0974646,120.7679133
OB-GYNE Clinic,15.097866,120.7678684
First Lab Diagnostic Clinic,15.0952245,120.7669075
Manalili Optical Clinic,15.094928,120.7665186
Gozun Optical Clinic,15.1073749,120.771315
Santa Lucia Barangay Health Center,15.0935451,120.7805157
San Roque Health Center,15.1194598,120.7279162
Calzadang Bayu Health Center,15.0992405,120.5832536
M. Guinto-Yap Pediatric Clinic,15.1106179,120.5641787
Madich Specialty Clinic,15.1197964,120.5704229
Lagman Medical and Children's Clinic,15.1267283,120.573259
Pol D. Victoria Jr. Clinic,15.1516606,120.5951556
Telapayong Health Center,15.185407,120.6759444
Arenas Health Center,15.1689341,120.686289
San Jose Health Center,15.1890989,120.6357495
Ob-Gyne Clinic,15.2164761,120.6671498
Baluyut Medical Clinic,15.2164396,120.6673814
Laxamana Clinic,15.216117,120.6655404
Palinlang Health Center,15.1720762,120.7048988
V.S. Santos Family Wellness Clinic,15.2126524,120.6598082
San Nicolas I Health Center,15.2181248,120.6615235
Rabies Center Animal Bite Management,15.2172636,120.6693026
Macadangdang Medical Clinic,15.1558631,120.7719125
Siman-Baltazar Pediatric Clinic,15.1474842,120.7688357
Ferdinand G. Cabigting Medical Clinic,15.1496301,120.7752684
Barangay Gatiawin Health Center,15.1519463,120.741865
Lingap General Hospital,15.1542761,120.7707202
Dr. Tomas S. Co Medical Clinic,15.1471331,120.7688849
Cupang Health Center,15.1365644,120.7848448
Mangga-Cacutud Health Center,15.1483771,120.7623839
Lacquios Health Center,15.1672731,120.7736693
Vince Optical Clinic,15.0847012,120.6686961
San Rafael Health Center,15.0787216,120.6757224
Concepcion Barangay Health Center,15.1097889,120.7121629
San Vicente Health Center,15.0902472,120.7010023
San Juan Health Center,15.119083,120.6989605
Culubasa Health Center,15.1452003,120.6515182
Suclaban Health Center,15.1375567,120.6381356
Acli Resettlement Health Center,15.1199287,120.640214
Pediatric Clinic,15.17879,120.6253566
Medical Clinic,15.1791194,120.6439785
Ob-Gyn,15.1764608,120.6472474
Jorma Optical Clinic,15.1761074,120.6473608
Esguerra Pediatric Clinic,15.1770824,120.6496886
Medical Clinic,15.1760715,120.6476286
Optimal Care Child and Adult Clinic,15.1790361,120.643887
Pescadores Health Center,15.0906881,120.8269976
Panganiban Medical Clinic,15.0911199,120.826022
Magayonon Medical Aesthetics,15.092842,120.8254138
Candaba Eye Clinic,15.0929456,120.8256928
OB-GYNE,15.0926608,120.8271808
Rey Gal Medical and Diagnostic Clinic,15.0926482,120.8271979
Sicangco Medical Clinic,15.4565436,120.5998891
"Saint Claire OB-GYN, PEDIATRIC & DIAGNOSTIC CLINIC",15.4769749,120.5957668
"JEANETTE S. RAMOS, M.D.",15.3341124,120.5895101
Annaliza Juco-Calilung MD,15.333978,120.5897042
Holy Infant Clinic,15.4873687,120.5910696
La Paz Medicare and Community Hospital,15.454406,120.7101186
Dizon Clinic Centre 2,15.4894323,120.5885704
Tañedo Skin- Cosmetic Clinic,15.4891182,120.589892
"DR. R.J.M. REMANDABAN EYE, EAR, NOSE, & THROAT",15.4885537,120.5891641
E.E.N.T. CLINIC,15.4885048,120.5891854
Unnamed Facility,15.4890799,120.5896894
Lugtu-Losa Medical Clinic,15.324492,120.6533977
Pineda Medical and Eye Clinic,15.3444666,120.5936898
Tarlac City Polyclinic,15.4867114,120.5887275
Uy Gutierrez Mother & Child Clinic,15.4867273,120.5907494
Angeles Maternity and Medical Clinic,15.4854303,120.5901097
Immunomed,15.167808,120.5895732
MDLab Diagnostic Center,15.1686591,120.5849183
Eulalia Pediatric Clinic,15.1677653,120.5913703
iCare Wellness Clinic and Diagnostic Center,15.1668702,120.5897985
Tucay Multi-specialty Clinic,15.4367333,120.5990843
Bognot Eye Clinic,15.1464619,120.594532
Aleth Skin Clinic,15.1413271,120.5971786
Holy Family Medical Center - Hemodialysis Unit,15.139885,120.5942919
Clinica de Santo Entierro,15.1403193,120.5949222
St. Mary's Polyclinic,15.1812006,120.5865584
Centralle Medical Diagnostic and Polyclinic,15.1783007,120.5883233
Maniulit Skin Disease and Medical Clinic,15.1454936,120.5887277
Paediatric Clinic,15.1364926,120.5918357
i Care Optical,15.1363909,120.5917525
Dominican Children's Clinic,15.1298577,120.5953863
Little David Children's Clinic,15.1274491,120.5965309
Clinica Bansil,15.154111,120.6052635
Jongno East Medical Center,15.1619806,120.5550988
Sacred Heart Medical Clinic,15.2195531,120.5757629
J.H. Oriental Medical Clinic,15.1383211,120.5630797
Bethesda Clinic,15.1503538,120.5596438
Edermcenters Clark,15.1670263,120.5712049
Nueva Ecija Renal Center-Zaragoza Hemodialysis Center,15.4486913,120.7953161
Skincraft Dermatology Clinic,15.1323976,120.5927305
Feliz Tooth District Dental Clinic,15.2095938,120.5791382
Check-Med (LTO Accredited Medical Clinic),15.126999,120.5981716
Dr. Fred S. Patawaran LTO Accredited Physician,15.1275233,120.598061
Agsa Medical Service LTO Accredited,15.1275167,120.5976599
Capas Physical Therapy Clinic,15.3318183,120.5891934
City Health Center X-Tibag,15.491063,120.5678341
Co - Sy Fertility Clinic,15.1437314,120.5959392
Garcia-Bautista Children's Clinic,15.0830175,120.6691845
Pandatung Health Center,14.8246351,120.4690955
F M Cruz Ortopedic,14.906521,120.8695972
Quebiawan Health Center,15.0540581,120.6663451
Espiritu Clinic,15.0548211,120.6611785
EENT Hospital,14.8500309,120.8226957
Santos Clinic,14.851879,120.8190497
Abucay health Center,14.7213612,120.5353993
Pampanga EENT and General Hospital,15.0212542,120.6993392
Munoz Clinic,15.0197026,120.7002014
San Jose Health Center,15.039434,120.6996109
Lito Layug Dental Laboratory,14.9627606,120.6266683
Do-Re-Mi Children's Clinic,14.9130914,120.5670382
San Juan Bautista Health Center,14.975708,120.6368025
Barangay San Jose Health Center,14.9744793,120.6172791
San Pablo Health Center,14.9687909,120.6212359
Rizal Health Center,14.9763579,120.5900467
Magpoc Maternity Clinic,14.8393437,120.8665221
Malolos Eye Center,14.8502435,120.8220702
Malolos Maternity Hospital,14.8501744,120.8222762
Malolos Klinika & Laboratorio,14.8504787,120.804522
Good Shepherd Hospital,14.9024985,120.844542
Malolos Veterinary Clinic,14.8656746,120.8211693
Habilities Center for Intervention (Therapy Center),14.8605135,120.8063264
Physical Medicine & Rehabilitation Malolos,14.8556153,120.8118866
Pulilan Doctors Multispecialty Clinic,14.9025667,120.8477554
Mercado Health Center,14.8230172,120.7254649
Hagonoy RHU II,14.8161092,120.7294925
Carlos-Simpao Optical,14.964314,120.6336464
Provincial Malward,15.0232173,120.68838
Women’s Wellness Center,14.7929874,120.8790567
St. Ildephonse Multispecialty & Diagnostic Clinic,14.8290019,120.8743658
SMC Healthcare Clinic,14.8288676,120.8745988
Dra. Gina Marie Ponio,15.0460748,120.6697039
Sayo Family Care Clnic,14.8413293,120.8130571
Unnamed Facility,14.8445864,120.8143929
Ob-Gyne Clinic,15.0322292,120.6886813
Unnamed Facility,14.829329,120.8295098
Apalit Doctors Hospital,14.95241,120.7637962
Barangay Ibayo Health Center,14.6804924,120.5369868
Jose Abad Santos Health Center,14.9720295,120.5981865
Nicdao Medical Clinic,14.9658002,120.6324116
Dr. Chiong Clinic,14.9664123,120.633253
OB-GYN and Pediatric Clinic,14.9655695,120.6329613
MMLR Active PT and OT Rehabilitation Center,14.9847943,120.6218167
L.S. Vision Care Center,14.984907,120.6216525
Obstetrics and Gynecology,14.9670453,120.6328359
General Surgery,14.9670162,120.6328614
Adult Medicine and Cardiology,14.9670813,120.6328094
San Roque Barangay Health Center,14.9685513,120.6318489
Macapinlac Medical Care Clinic,14.9672609,120.6326559
Mercy Clinic,14.9643394,120.6340793
San Nicolas 1st Barangay Health Center,14.9701857,120.6334642
Mesalipit Health Center,14.9969476,120.6937147
Cabalantian Health Center,15.0066599,120.673474
Vitug Clinic,14.965622,120.6321687
Ferdiz Medical Clinic,14.9641327,120.6287476
Duat Health Center,15.0407156,120.6161097
Bacolor Rural Health Unit I,14.9964748,120.6516369
Porac Rural Health Unit I,15.0734962,120.5405659
Mitla Proper Health Center,15.0630174,120.5845743
Unnamed Facility,15.0721057,120.5427204
Unnamed Facility,15.0717981,120.5429011
Unnamed Facility,15.0639003,120.5492861
J Bautista Diagnostic Services and Welness Center,15.0649881,120.5486206
Dayrit-Cañete Medical Clinic,15.0659338,120.5434509
St. Basil Medical Clinic,15.0638929,120.5490075
Sepung Bulaon Health Center,15.0507493,120.5545918
Balubad Health Center,15.0339778,120.5462881
Medical Clinic,15.0464599,120.5257517
Rozul Medical Clinic,15.038714,120.7892764
St. Gwen Medical Clinic,15.0385598,120.7894622
St. Aloysius Optical,15.03973,120.7898873
Children and Derma Clinic,15.0388714,120.7896312
Garcia's Klinika Pedya,15.0397041,120.7902582
San Carlos Health Center,15.0412473,120.7605836
Santa Catalina Health Center,14.9249397,120.5924875
Santa Barbara Health Center,14.9305915,120.5938447
San Jose Health Center,15.0033619,120.8709604
Santa Lucia Health Center,14.9355376,120.6010705
Lubao Optical Clinic,14.9380599,120.6003276
Little Steps Pediatric Clinic,14.9760858,120.5837052
San Matias Health Center,14.9547806,120.5876652
San Vicente Health Center,14.9488211,120.5668063
Dela Paz Health Center,14.933649,120.5284223
San Pedro Saug Health Center,14.9136803,120.5240301
Unnamed Facility,14.9775076,120.5787586
M.S. Baesa Medical Clinic,14.9126766,120.5655544
Medical Clinic,14.9124854,120.5657995
Medical Clinic,14.9115857,120.5639442
Del Carmen Health Center,14.9347047,120.5571621
San Miguel Health Center,14.9497783,120.5501434
Miguel-Gamboa Medical Center,14.9096214,120.5609038
Santo Niño Health Center,14.8717302,120.5024796
Prado Siongco Health Center,14.8796941,120.515957
Sta. Maria Health Center,14.9235887,120.5730079
Bancal Sinubli Barangay Health Center,14.8573177,120.5951522
Santa Monica Health Center,14.9583308,120.6065677
Santo Domingo Health Center,14.9906143,120.7427173
Northville 12 Health Center,15.0026666,120.7018545
Medical Clinic,15.0084601,120.7106916
Balangcas Health Center,15.0012018,120.7275289
LN Laboratory & Diagnostic Center Multi-Specialty Clinic,15.0079359,120.712519
Medical Clinic,14.9653839,120.6107845
San Antonio Health Center,14.9651238,120.6120837
Children's Clinic,14.9669069,120.6130191
Simpao-Tolentino Optical,14.9635642,120.6322965
San Rafael Health Station,14.9633595,120.6347155
Bancal Health Center,14.955799,120.6305614
Santo Cristo Health Center,14.9657749,120.6297869
Evergreen Optical,14.9634343,120.6323974
Medical and Diabetes Care Clinic,14.9649949,120.6340523
EMS Derma Clinic,15.0726185,120.7573793
Rural Health Unit III,15.072614,120.7574926
Children's Clinic,15.0728921,120.7559164
San Lorenzo Health Center,15.067041,120.7329209
Ob-Gyn Clinic,15.0726218,120.7547487
San Pablo Health Center,15.0698292,120.7371752
Merlinda Ibe Lising Birthing Home Clinic,15.0747426,120.6996243
Santo Cristo Health Center,15.0602419,120.7183256
San Antonio Health Center,15.0600968,120.7200587
Medlink Diagnostic and Specialty Clinic,15.0641431,120.7204221
Ob-Gyn Clinic,15.0633357,120.7200238
Rivera Medical Clinic,15.0651458,120.7204433
Bonamy Optical Clinic,15.0647823,120.722299
Ordoñez Pediatric Clinic,15.0636187,120.7255995
"Alex Pineda, MD, FPCP Internal Medicine",15.0624803,120.7193707
Rozul Medical Clinic,15.0631822,120.7200593
Mexico Peninsula Clinic Diagnostic,15.0509174,120.7027772
San Carlos Health Center,15.070029,120.7208087
San Agustin Health Center,14.990143,120.6055602
Simpao-Tolentino Optical,14.9980031,120.6147706
Santa Monica Health Center,14.9934613,120.6107583
San Vicente Health Center,14.9982884,120.6156698
Dila-Dila Barangay Health Center,15.018213,120.5778151
Optical Clinic,15.0190161,120.858287
Aquino's Clinic,15.0451165,120.6725702
JFD Dialysis Center,14.7907571,120.5348935
La Verdad Diagnostic Center,14.9588911,120.7583874
Malolos Rehabilitation Medicine,14.8524642,120.8172934
Quality Health Animal Bite Clinic,14.8565955,120.8177917
OB-GYNE Clinic,14.9742189,120.5287883
Pio Health Care Center,15.0480542,120.5236489
AlphaMed,15.059927,120.6565469
OB-GYN Clinic,15.031584,120.8811264
freedaysacro,15.0726406,120.7553551
Escuadro Clinic,14.3830698,120.8787383
Contreras Medical Clinic and Hospital,14.4132944,120.8574984
Custodio Clinic,14.3834491,120.8791085
Korea-Philippines Friendship Clinic,14.4077568,120.878607
Maligaya Barangay Health Center,14.4523853,120.4994761
St. Martin Maternity and Pediatrics Hospital,14.425703,120.8741989
Limay Emergency and birthing Facility,14.5631983,120.5965013
First Aid Clinic,14.3879558,120.5871877
Fhei,14.2600701,120.8771224
Marie Isabelle,14.3889104,120.8467546
M.V. Santiago Medical and Diagnostic Center,14.1969546,120.8768204
Lapidario,14.2783114,120.8712174
St. Therese Maternity Lying-in Clinic,14.3274531,120.7767787
Circle of Life Veterinary Clinic,14.397103,120.8541587
Sto. Domingo Diagnostic and Medical Center,14.4052155,120.8597741
Clinica Nasugbu,14.0674003,120.6330637
Immanuel Diagnostic Laboratory and Multi-Specialty Clinic ,14.0643491,120.6337808
Jabez Medical Center,14.0651325,120.6336298
Jabez Medical Center,14.0651474,120.6336292
Immanuel Diagnostic and Multi-Specialty Clinic,14.0640826,120.6338841
FMB Ultrasound and X-ray Clinic,14.0715114,120.6324435
Looc Health Center,14.1643772,120.629537
Jabez Medical Center,14.0646021,120.6338021
Club Clinic,14.1328796,120.5799387
Shechem Laboratory and Polymedical Center,14.0725202,120.6324578
Calanog-de Jesus Diabetes Care Clinic,13.9290038,120.8133292
Our Lady of Divine Grace Clinic & Laboratory,13.9313311,120.8126581
Ospital Ng Nasugbu,14.0742118,120.6309557
Balayan Mary Immaculate Maternity Clinic Inc.,13.9494377,120.7267318
Mary Immaculate Maternity Clinic,13.9494319,120.7267752
Excel Diagnostic & Clinical Lab,13.2232609,120.5984398
Mamburao Rural Health Unit,13.2267383,120.5944
Layus Clinic,18.6049354,121.0828887
Malto Skin Clinic,18.563149,121.2306188
"Guina-ang clinic, conner apayao",17.8626029,121.2447425
Cambulo Baranggay Health Care Center,16.9505288,121.1256342
Tanudan Hospital,17.2814179,121.2307646
Municipal Health Office,17.0864336,120.9768408
Maligcong Health Clinic,17.1334973,120.9836292
Batad Health Center,16.9308009,121.1344059
Mayoyao District Hospital,16.9753653,121.221568
Banaue Municipal Health Office,16.9113473,121.0623991
Salubris Medical Center,16.5221106,121.1930943
Barangay Clinic,16.8127065,121.1217912
Barangay Health Station,16.8546843,121.1111765
Birthing Clinic,16.8517649,121.0995951
Cariaga-Uy Medical Clinic,16.5171856,121.1796311
MMG,16.5166138,121.1782843
St. Lucy’s Cataract & Laser Eye Center,16.5211755,121.1818989
JVP SK/N Clinic & Facial Center,16.5155738,121.1862241
JHR Medical Clinic,16.4893788,121.159734
Solano EENT & Optical Clinic,16.5176516,121.1815432
Campos-Manansala Kids Clinic,16.5171259,121.1799299
New Era Medical Clinic,16.5167885,121.1798365
Javonillo-Palitayan Dental Clinic,16.5172876,121.1819915
Saquing's Clinic,16.3861278,121.1068359
Unnamed Facility,16.3618644,120.8887357
Llanera Emergency Clinic,15.6625399,121.0193655
truhealth talavera,15.5894083,120.9199288
Bagong Sikat Health Center,15.5239885,121.0224848
City Health,15.4865704,120.9662143
Dy Clinic,15.1452615,120.9794429
De Luna-Cruz Dental Clinic,15.1449763,120.9782927
Mezzanine Dra. Dedace,15.4871357,120.9624371
Rosales Medical Clinic,15.4834794,120.9587739
Brngy Health Center,15.5001072,121.0080765
San Josef Barangay Health Center,15.4818701,120.9500706
home sweet home,15.3098114,120.962326
Lab Seventeen And Clinic,15.309667,120.9467464
Joson Clinic,15.310346,120.94755
Family Polyclinic Ob-Gyn,15.4880864,120.9716194
Duque Clinic,15.311098,120.94814
Unnamed Facility,15.3097966,120.9623204
Dr. Ricardo Yang,15.506466,120.9687805
Gapan Medical Clinic,15.307772,120.9451081
Unnamed Facility,15.4901793,120.9732036
Navallo Medical Clinic and Diabetes Care,15.4979503,120.9659124
"Immaculate Conception Medical Center of Central Luzon, Inc.",15.4686986,120.9632626
Mapaniqui Barangay Health Center,15.1058898,120.9219147
Gapan City Doctors Clinic,15.3098959,120.9467436
The Multispecialty Clinic,15.4878426,120.972991
P.V. Medical Supplies & Mabini Rabies Center,15.4879382,120.9727053
North East Dialysis Center,15.4156944,120.9389283
Ronn Carmel Hospital,14.6579206,120.9919955
Lady Of  Lourdes Hospital Of Kaybiga,14.719531,121.007156
Our Lady Of Mercy Hospital,14.721521,121.0397952
A. R. Bautista Children And General Hospital,14.7303,121.043441
St. John Hospital,14.6931601,120.9656248
John-paul Hospital,14.659791,120.991958
Casual General Hospital,14.7370013,121.070637
J. P. Sioson General Hospital And Colleges,14.6599034,121.0250945
Hernandez General Hospital,14.646813,120.9838197
Sacred Angel,14.7353252,121.0686784
