Month,Year,Region,Dengue_Cases,Dengue_Deaths,Island,Date
November,2019,Region II,957,5,Luzon,2019-11-01
December,2019,Region II,581,0,Luzon,2019-12-01
January,2020,Region II,324,4,Luzon,2020-01-01
February,2020,Region II,436,0,Luzon,2020-02-01
March,2020,Region II,117,0,Luzon,2020-03-01
April,2020,Region II,18,0,Luzon,2020-04-01
May,2020,Region II,17,0,Luzon,2020-05-01
June,2020,Region II,30,0,Luzon,2020-06-01
July,2020,Region II,54,0,Luzon,2020-07-01
August,2020,Region II,108,2,Luzon,2020-08-01
September,2020,Region II,109,1,Luzon,2020-09-01
October,2020,Region II,158,2,Luzon,2020-10-01
November,2020,Region II,161,0,Luzon,2020-11-01
December,2020,Region II,96,0,Luzon,2020-12-01
January,2016,Region III,1976,3,Luzon,2016-01-01
February,2016,Region III,1748,5,Luzon,2016-02-01
March,2016,Region III,883,3,Luzon,2016-03-01
April,2016,Region III,549,0,Luzon,2016-04-01
May,2016,Region III,365,0,Luzon,2016-05-01
June,2016,Region III,363,0,Luzon,2016-06-01
July,2016,Region III,1701,5,Luzon,2016-07-01
August,2016,Region III,2877,8,Luzon,2016-08-01
September,2016,Region III,3194,12,Luzon,2016-09-01
October,2016,Region III,3155,11,Luzon,2016-10-01
November,2016,Region III,2207,13,Luzon,2016-11-01
December,2016,Region III,1971,5,Luzon,2016-12-01
January,2017,Region III,2301,6,Luzon,2017-01-01
February,2017,Region III,1264,9,Luzon,2017-02-01
March,2017,Region III,1006,3,Luzon,2017-03-01
April,2017,Region III,644,3,Luzon,2017-04-01
May,2017,Region III,430,2,Luzon,2017-05-01
June,2017,Region III,756,2,Luzon,2017-06-01
July,2017,Region III,3263,6,Luzon,2017-07-01
August,2017,Region III,4764,18,Luzon,2017-08-01
September,2017,Region III,3263,9,Luzon,2017-09-01
October,2017,Region III,2811,6,Luzon,2017-10-01
November,2017,Region III,2310,7,Luzon,2017-11-01
December,2017,Region III,2388,10,Luzon,2017-12-01
January,2018,Region III,2497,5,Luzon,2018-01-01
February,2018,Region III,1829,4,Luzon,2018-02-01
March,2018,Region III,1237,3,Luzon,2018-03-01
April,2018,Region III,724,1,Luzon,2018-04-01
May,2018,Region III,695,2,Luzon,2018-05-01
June,2018,Region III,1174,5,Luzon,2018-06-01
July,2018,Region III,4576,19,Luzon,2018-07-01
August,2018,Region III,5581,18,Luzon,2018-08-01
September,2018,Region III,5026,12,Luzon,2018-09-01
October,2018,Region III,3302,5,Luzon,2018-10-01
November,2018,Region III,2859,7,Luzon,2018-11-01
December,2018,Region III,2226,4,Luzon,2018-12-01
January,2019,Region III,1813,4,Luzon,2019-01-01
February,2019,Region III,1840,5,Luzon,2019-02-01
March,2019,Region III,1230,3,Luzon,2019-03-01
April,2019,Region III,460,1,Luzon,2019-04-01
May,2019,Region III,428,1,Luzon,2019-05-01
June,2019,Region III,1371,4,Luzon,2019-06-01
July,2019,Region III,2228,18,Luzon,2019-07-01
August,2019,Region III,6593,17,Luzon,2019-08-01
September,2019,Region III,9713,121,Luzon,2019-09-01
October,2019,Region III,5682,5,Luzon,2019-10-01
November,2019,Region III,3003,4,Luzon,2019-11-01
December,2019,Region III,2797,11,Luzon,2019-12-01
January,2020,Region III,2859,6,Luzon,2020-01-01
February,2020,Region III,3091,14,Luzon,2020-02-01
March,2020,Region III,1404,4,Luzon,2020-03-01
April,2020,Region III,207,0,Luzon,2020-04-01
May,2020,Region III,201,0,Luzon,2020-05-01
June,2020,Region III,280,3,Luzon,2020-06-01
July,2020,Region III,698,12,Luzon,2020-07-01
August,2020,Region III,1272,3,Luzon,2020-08-01
September,2020,Region III,1073,3,Luzon,2020-09-01
October,2020,Region III,1013,5,Luzon,2020-10-01
November,2020,Region III,1731,1,Luzon,2020-11-01
December,2020,Region III,2162,6,Luzon,2020-12-01
January,2016,Region IV-A,2993,14,Luzon,2016-01-01
February,2016,Region IV-A,2035,5,Luzon,2016-02-01
March,2016,Region IV-A,1327,9,Luzon,2016-03-01
April,2016,Region IV-A,838,1,Luzon,2016-04-01
May,2016,Region IV-A,714,1,Luzon,2016-05-01
June,2016,Region IV-A,778,4,Luzon,2016-06-01
July,2016,Region IV-A,2270,6,Luzon,2016-07-01
August,2016,Region IV-A,3218,2,Luzon,2016-08-01
September,2016,Region IV-A,3454,28,Luzon,2016-09-01
October,2016,Region IV-A,3175,20,Luzon,2016-10-01
November,2016,Region IV-A,2023,10,Luzon,2016-11-01
December,2016,Region IV-A,1457,8,Luzon,2016-12-01
January,2017,Region IV-A,1764,14,Luzon,2017-01-01
February,2017,Region IV-A,1243,5,Luzon,2017-02-01
March,2017,Region IV-A,927,2,Luzon,2017-03-01
April,2017,Region IV-A,647,0,Luzon,2017-04-01
May,2017,Region IV-A,435,1,Luzon,2017-05-01
June,2017,Region IV-A,815,5,Luzon,2017-06-01
July,2017,Region IV-A,2727,5,Luzon,2017-07-01
August,2017,Region IV-A,3121,17,Luzon,2017-08-01
September,2017,Region IV-A,2520,6,Luzon,2017-09-01
October,2017,Region IV-A,2759,20,Luzon,2017-10-01
November,2017,Region IV-A,2635,21,Luzon,2017-11-01
December,2017,Region IV-A,2828,14,Luzon,2017-12-01
January,2018,Region IV-A,2457,17,Luzon,2018-01-01
February,2018,Region IV-A,1975,9,Luzon,2018-02-01
March,2018,Region IV-A,1494,10,Luzon,2018-03-01
April,2018,Region IV-A,946,10,Luzon,2018-04-01
May,2018,Region IV-A,675,4,Luzon,2018-05-01
June,2018,Region IV-A,991,2,Luzon,2018-06-01
July,2018,Region IV-A,2793,17,Luzon,2018-07-01
August,2018,Region IV-A,3756,18,Luzon,2018-08-01
September,2018,Region IV-A,4697,31,Luzon,2018-09-01
October,2018,Region IV-A,3914,18,Luzon,2018-10-01
November,2018,Region IV-A,3575,16,Luzon,2018-11-01
December,2018,Region IV-A,3137,5,Luzon,2018-12-01
January,2019,Region IV-A,2157,6,Luzon,2019-01-01
February,2019,Region IV-A,3252,14,Luzon,2019-02-01
March,2019,Region IV-A,2252,13,Luzon,2019-03-01
April,2019,Region IV-A,892,3,Luzon,2019-04-01
May,2019,Region IV-A,909,9,Luzon,2019-05-01
June,2019,Region IV-A,2531,8,Luzon,2019-06-01
July,2019,Region IV-A,6365,21,Luzon,2019-07-01
August,2019,Region IV-A,15047,39,Luzon,2019-08-01
September,2019,Region IV-A,21658,48,Luzon,2019-09-01
October,2019,Region IV-A,10365,37,Luzon,2019-10-01
November,2019,Region IV-A,5899,23,Luzon,2019-11-01
December,2019,Region IV-A,4868,21,Luzon,2019-12-01
January,2020,Region IV-A,3175,11,Luzon,2020-01-01
February,2020,Region IV-A,2581,3,Luzon,2020-02-01
March,2020,Region IV-A,1504,6,Luzon,2020-03-01
April,2020,Region IV-A,151,0,Luzon,2020-04-01
May,2020,Region IV-A,77,1,Luzon,2020-05-01
June,2020,Region IV-A,105,0,Luzon,2020-06-01
July,2020,Region IV-A,212,0,Luzon,2020-07-01
August,2020,Region IV-A,291,1,Luzon,2020-08-01
September,2020,Region IV-A,231,4,Luzon,2020-09-01
October,2020,Region IV-A,325,2,Luzon,2020-10-01
November,2020,Region IV-A,542,3,Luzon,2020-11-01
December,2020,Region IV-A,527,4,Luzon,2020-12-01
January,2016,Region IV-B,203,1,Luzon,2016-01-01
February,2016,Region IV-B,219,0,Luzon,2016-02-01
March,2016,Region IV-B,211,1,Luzon,2016-03-01
April,2016,Region IV-B,181,2,Luzon,2016-04-01
May,2016,Region IV-B,203,5,Luzon,2016-05-01
June,2016,Region IV-B,263,0,Luzon,2016-06-01
July,2016,Region IV-B,735,2,Luzon,2016-07-01
August,2016,Region IV-B,778,3,Luzon,2016-08-01
September,2016,Region IV-B,469,2,Luzon,2016-09-01
October,2016,Region IV-B,388,1,Luzon,2016-10-01
November,2016,Region IV-B,214,1,Luzon,2016-11-01
December,2016,Region IV-B,135,0,Luzon,2016-12-01
January,2017,Region IV-B,243,0,Luzon,2017-01-01
February,2017,Region IV-B,255,0,Luzon,2017-02-01
March,2017,Region IV-B,147,0,Luzon,2017-03-01
April,2017,Region IV-B,69,1,Luzon,2017-04-01
May,2017,Region IV-B,94,0,Luzon,2017-05-01
June,2017,Region IV-B,232,0,Luzon,2017-06-01
July,2017,Region IV-B,393,1,Luzon,2017-07-01
August,2017,Region IV-B,412,1,Luzon,2017-08-01
September,2017,Region IV-B,286,2,Luzon,2017-09-01
October,2017,Region IV-B,247,5,Luzon,2017-10-01
November,2017,Region IV-B,203,1,Luzon,2017-11-01
December,2017,Region IV-B,189,1,Luzon,2017-12-01
January,2018,Region IV-B,214,1,Luzon,2018-01-01
February,2018,Region IV-B,277,2,Luzon,2018-02-01
March,2018,Region IV-B,203,2,Luzon,2018-03-01
April,2018,Region IV-B,198,2,Luzon,2018-04-01
May,2018,Region IV-B,238,1,Luzon,2018-05-01
June,2018,Region IV-B,471,2,Luzon,2018-06-01
July,2018,Region IV-B,1650,6,Luzon,2018-07-01
August,2018,Region IV-B,1489,17,Luzon,2018-08-01
September,2018,Region IV-B,1582,12,Luzon,2018-09-01
October,2018,Region IV-B,637,3,Luzon,2018-10-01
November,2018,Region IV-B,470,1,Luzon,2018-11-01
December,2018,Region IV-B,590,2,Luzon,2018-12-01
January,2019,Region IV-B,435,3,Luzon,2019-01-01
February,2019,Region IV-B,710,2,Luzon,2019-02-01
March,2019,Region IV-B,799,2,Luzon,2019-03-01
April,2019,Region IV-B,364,2,Luzon,2019-04-01
May,2019,Region IV-B,248,0,Luzon,2019-05-01
June,2019,Region IV-B,941,1,Luzon,2019-06-01
July,2019,Region IV-B,1628,2,Luzon,2019-07-01
August,2019,Region IV-B,2125,4,Luzon,2019-08-01
September,2019,Region IV-B,1995,4,Luzon,2019-09-01
October,2019,Region IV-B,710,4,Luzon,2019-10-01
November,2019,Region IV-B,616,2,Luzon,2019-11-01
December,2019,Region IV-B,413,0,Luzon,2019-12-01
January,2020,Region IV-B,320,0,Luzon,2020-01-01
February,2020,Region IV-B,607,2,Luzon,2020-02-01
March,2020,Region IV-B,537,2,Luzon,2020-03-01
April,2020,Region IV-B,77,0,Luzon,2020-04-01
May,2020,Region IV-B,111,0,Luzon,2020-05-01
June,2020,Region IV-B,196,0,Luzon,2020-06-01
July,2020,Region IV-B,467,0,Luzon,2020-07-01
August,2020,Region IV-B,1048,3,Luzon,2020-08-01
September,2020,Region IV-B,694,1,Luzon,2020-09-01
October,2020,Region IV-B,438,2,Luzon,2020-10-01
November,2020,Region IV-B,390,13,Luzon,2020-11-01
December,2020,Region IV-B,192,0,Luzon,2020-12-01
January,2016,Region V,237,0,Luzon,2016-01-01
February,2016,Region V,161,0,Luzon,2016-02-01
March,2016,Region V,118,2,Luzon,2016-03-01
April,2016,Region V,94,1,Luzon,2016-04-01
May,2016,Region V,96,0,Luzon,2016-05-01
June,2016,Region V,106,0,Luzon,2016-06-01
July,2016,Region V,248,2,Luzon,2016-07-01
August,2016,Region V,346,1,Luzon,2016-08-01
September,2016,Region V,378,7,Luzon,2016-09-01
October,2016,Region V,319,3,Luzon,2016-10-01
November,2016,Region V,242,0,Luzon,2016-11-01
December,2016,Region V,187,0,Luzon,2016-12-01
January,2017,Region V,232,1,Luzon,2017-01-01
February,2017,Region V,178,1,Luzon,2017-02-01
March,2017,Region V,111,0,Luzon,2017-03-01
April,2017,Region V,130,1,Luzon,2017-04-01
May,2017,Region V,66,1,Luzon,2017-05-01
June,2017,Region V,163,1,Luzon,2017-06-01
July,2017,Region V,373,1,Luzon,2017-07-01
August,2017,Region V,435,2,Luzon,2017-08-01
September,2017,Region V,367,2,Luzon,2017-09-01
October,2017,Region V,508,5,Luzon,2017-10-01
November,2017,Region V,323,6,Luzon,2017-11-01
December,2017,Region V,339,3,Luzon,2017-12-01
January,2018,Region V,297,3,Luzon,2018-01-01
February,2018,Region V,168,2,Luzon,2018-02-01
March,2018,Region V,157,0,Luzon,2018-03-01
April,2018,Region V,173,1,Luzon,2018-04-01
May,2018,Region V,136,1,Luzon,2018-05-01
June,2018,Region V,235,7,Luzon,2018-06-01
July,2018,Region V,408,3,Luzon,2018-07-01
August,2018,Region V,355,3,Luzon,2018-08-01
September,2018,Region V,397,6,Luzon,2018-09-01
October,2018,Region V,320,3,Luzon,2018-10-01
November,2018,Region V,355,3,Luzon,2018-11-01
December,2018,Region V,547,4,Luzon,2018-12-01
January,2019,Region V,342,2,Luzon,2019-01-01
February,2019,Region V,387,9,Luzon,2019-02-01
March,2019,Region V,436,7,Luzon,2019-03-01
April,2019,Region V,223,2,Luzon,2019-04-01
May,2019,Region V,205,3,Luzon,2019-05-01
June,2019,Region V,547,9,Luzon,2019-06-01
July,2019,Region V,1371,10,Luzon,2019-07-01
August,2019,Region V,2281,12,Luzon,2019-08-01
September,2019,Region V,2846,16,Luzon,2019-09-01
October,2019,Region V,1292,7,Luzon,2019-10-01
November,2019,Region V,648,4,Luzon,2019-11-01
December,2019,Region V,563,7,Luzon,2019-12-01
January,2020,Region V,404,2,Luzon,2020-01-01
February,2020,Region V,394,3,Luzon,2020-02-01
March,2020,Region V,335,5,Luzon,2020-03-01
April,2020,Region V,86,3,Luzon,2020-04-01
May,2020,Region V,74,0,Luzon,2020-05-01
June,2020,Region V,55,1,Luzon,2020-06-01
July,2020,Region V,47,1,Luzon,2020-07-01
August,2020,Region V,83,4,Luzon,2020-08-01
September,2020,Region V,60,0,Luzon,2020-09-01
October,2020,Region V,53,0,Luzon,2020-10-01
November,2020,Region V,61,1,Luzon,2020-11-01
December,2020,Region V,69,1,Luzon,2020-12-01
January,2016,Region VI,971,1,Visayas,2016-01-01
February,2016,Region VI,674,2,Visayas,2016-02-01
March,2016,Region VI,596,1,Visayas,2016-03-01
April,2016,Region VI,560,1,Visayas,2016-04-01
May,2016,Region VI,782,3,Visayas,2016-05-01
June,2016,Region VI,1137,4,Visayas,2016-06-01
July,2016,Region VI,4993,17,Visayas,2016-07-01
August,2016,Region VI,7155,22,Visayas,2016-08-01
September,2016,Region VI,5039,16,Visayas,2016-09-01
October,2016,Region VI,2562,12,Visayas,2016-10-01
November,2016,Region VI,1058,5,Visayas,2016-11-01
December,2016,Region VI,643,3,Visayas,2016-12-01
January,2017,Region VI,727,5,Visayas,2017-01-01
February,2017,Region VI,454,5,Visayas,2017-02-01
March,2017,Region VI,336,2,Visayas,2017-03-01
April,2017,Region VI,310,6,Visayas,2017-04-01
May,2017,Region VI,346,3,Visayas,2017-05-01
June,2017,Region VI,630,5,Visayas,2017-06-01
July,2017,Region VI,1577,12,Visayas,2017-07-01
August,2017,Region VI,2291,10,Visayas,2017-08-01
September,2017,Region VI,686,648,Visayas,2017-09-01
October,2017,Region VI,488,668,Visayas,2017-10-01
November,2017,Region VI,627,8,Visayas,2017-11-01
December,2017,Region VI,811,8,Visayas,2017-12-01
January,2018,Region VI,755,3,Visayas,2018-01-01
February,2018,Region VI,574,3,Visayas,2018-02-01
March,2018,Region VI,456,6,Visayas,2018-03-01
April,2018,Region VI,487,5,Visayas,2018-04-01
May,2018,Region VI,545,2,Visayas,2018-05-01
June,2018,Region VI,1017,13,Visayas,2018-06-01
July,2018,Region VI,2701,15,Visayas,2018-07-01
August,2018,Region VI,2639,16,Visayas,2018-08-01
September,2018,Region VI,2846,21,Visayas,2018-09-01
October,2018,Region VI,1903,9,Visayas,2018-10-01
November,2018,Region VI,1724,9,Visayas,2018-11-01
December,2018,Region VI,1935,7,Visayas,2018-12-01
January,2019,Region VI,1426,10,Visayas,2019-01-01
February,2019,Region VI,2003,8,Visayas,2019-02-01
March,2019,Region VI,2262,19,Visayas,2019-03-01
April,2019,Region VI,1199,7,Visayas,2019-04-01
May,2019,Region VI,1386,9,Visayas,2019-05-01
June,2019,Region VI,4859,31,Visayas,2019-06-01
July,2019,Region VI,13564,48,Visayas,2019-07-01
August,2019,Region VI,18090,54,Visayas,2019-08-01
September,2019,Region VI,9048,32,Visayas,2019-09-01
October,2019,Region VI,3475,8,Visayas,2019-10-01
November,2019,Region VI,1881,4,Visayas,2019-11-01
December,2019,Region VI,1164,3,Visayas,2019-12-01
January,2020,Region VI,660,0,Visayas,2020-01-01
February,2020,Region VI,784,1,Visayas,2020-02-01
March,2020,Region VI,630,2,Visayas,2020-03-01
April,2020,Region VI,167,0,Visayas,2020-04-01
May,2020,Region VI,138,1,Visayas,2020-05-01
June,2020,Region VI,272,1,Visayas,2020-06-01
July,2020,Region VI,388,2,Visayas,2020-07-01
August,2020,Region VI,473,4,Visayas,2020-08-01
September,2020,Region VI,169,2,Visayas,2020-09-01
October,2020,Region VI,115,1,Visayas,2020-10-01
November,2020,Region VI,197,2,Visayas,2020-11-01
December,2020,Region VI,138,0,Visayas,2020-12-01
January,2016,Region VII,1690,10,Visayas,2016-01-01
February,2016,Region VII,1175,7,Visayas,2016-02-01
March,2016,Region VII,1220,5,Visayas,2016-03-01
April,2016,Region VII,984,15,Visayas,2016-04-01
May,2016,Region VII,916,7,Visayas,2016-05-01
June,2016,Region VII,756,8,Visayas,2016-06-01
July,2016,Region VII,2473,20,Visayas,2016-07-01
August,2016,Region VII,4424,32,Visayas,2016-08-01
September,2016,Region VII,4458,31,Visayas,2016-09-01
October,2016,Region VII,4531,46,Visayas,2016-10-01
November,2016,Region VII,3771,36,Visayas,2016-11-01
December,2016,Region VII,2997,26,Visayas,2016-12-01
January,2017,Region VII,2750,28,Visayas,2017-01-01
February,2017,Region VII,1598,15,Visayas,2017-02-01
March,2017,Region VII,1058,11,Visayas,2017-03-01
April,2017,Region VII,750,16,Visayas,2017-04-01
May,2017,Region VII,537,3,Visayas,2017-05-01
June,2017,Region VII,718,6,Visayas,2017-06-01
July,2017,Region VII,1234,9,Visayas,2017-07-01
August,2017,Region VII,2647,10,Visayas,2017-08-01
September,2017,Region VII,2570,492,Visayas,2017-09-01
October,2017,Region VII,421,584,Visayas,2017-10-01
November,2017,Region VII,691,6,Visayas,2017-11-01
December,2017,Region VII,966,9,Visayas,2017-12-01
January,2018,Region VII,659,4,Visayas,2018-01-01
February,2018,Region VII,567,1,Visayas,2018-02-01
March,2018,Region VII,478,7,Visayas,2018-03-01
April,2018,Region VII,402,1,Visayas,2018-04-01
May,2018,Region VII,328,5,Visayas,2018-05-01
June,2018,Region VII,636,3,Visayas,2018-06-01
July,2018,Region VII,1539,6,Visayas,2018-07-01
August,2018,Region VII,2417,12,Visayas,2018-08-01
September,2018,Region VII,2830,5,Visayas,2018-09-01
October,2018,Region VII,3185,32,Visayas,2018-10-01
November,2018,Region VII,4123,29,Visayas,2018-11-01
December,2018,Region VII,4725,26,Visayas,2018-12-01
January,2019,Region VII,2461,17,Visayas,2019-01-01
February,2019,Region VII,2815,13,Visayas,2019-02-01
March,2019,Region VII,1831,9,Visayas,2019-03-01
April,2019,Region VII,571,4,Visayas,2019-04-01
May,2019,Region VII,535,6,Visayas,2019-05-01
June,2019,Region VII,1030,14,Visayas,2019-06-01
July,2019,Region VII,2124,14,Visayas,2019-07-01
August,2019,Region VII,3858,12,Visayas,2019-08-01
September,2019,Region VII,5534,16,Visayas,2019-09-01
October,2019,Region VII,3791,7,Visayas,2019-10-01
November,2019,Region VII,2823,15,Visayas,2019-11-01
December,2019,Region VII,3680,16,Visayas,2019-12-01
January,2020,Region VII,3389,8,Visayas,2020-01-01
February,2020,Region VII,3464,18,Visayas,2020-02-01
March,2020,Region VII,2119,6,Visayas,2020-03-01
April,2020,Region VII,578,2,Visayas,2020-04-01
May,2020,Region VII,290,3,Visayas,2020-05-01
June,2020,Region VII,252,2,Visayas,2020-06-01
July,2020,Region VII,355,3,Visayas,2020-07-01
August,2020,Region VII,626,5,Visayas,2020-08-01
September,2020,Region VII,473,4,Visayas,2020-09-01
October,2020,Region VII,350,0,Visayas,2020-10-01
November,2020,Region VII,303,3,Visayas,2020-11-01
December,2020,Region VII,207,0,Visayas,2020-12-01
January,2016,Region VIII,469,4,Visayas,2016-01-01
February,2016,Region VIII,376,1,Visayas,2016-02-01
March,2016,Region VIII,273,2,Visayas,2016-03-01
April,2016,Region VIII,217,0,Visayas,2016-04-01
May,2016,Region VIII,364,3,Visayas,2016-05-01
June,2016,Region VIII,426,11,Visayas,2016-06-01
July,2016,Region VIII,921,7,Visayas,2016-07-01
August,2016,Region VIII,839,7,Visayas,2016-08-01
September,2016,Region VIII,575,4,Visayas,2016-09-01
October,2016,Region VIII,421,0,Visayas,2016-10-01
November,2016,Region VIII,278,0,Visayas,2016-11-01
December,2016,Region VIII,229,3,Visayas,2016-12-01
January,2017,Region VIII,620,3,Visayas,2017-01-01
February,2017,Region VIII,438,0,Visayas,2017-02-01
March,2017,Region VIII,323,1,Visayas,2017-03-01
April,2017,Region VIII,356,1,Visayas,2017-04-01
May,2017,Region VIII,220,2,Visayas,2017-05-01
June,2017,Region VIII,236,2,Visayas,2017-06-01
July,2017,Region VIII,433,2,Visayas,2017-07-01
August,2017,Region VIII,417,0,Visayas,2017-08-01
September,2017,Region VIII,198,147,Visayas,2017-09-01
October,2017,Region VIII,144,236,Visayas,2017-10-01
November,2017,Region VIII,191,2,Visayas,2017-11-01
December,2017,Region VIII,340,2,Visayas,2017-12-01
January,2018,Region VIII,485,2,Visayas,2018-01-01
February,2018,Region VIII,313,4,Visayas,2018-02-01
March,2018,Region VIII,241,4,Visayas,2018-03-01
April,2018,Region VIII,270,1,Visayas,2018-04-01
May,2018,Region VIII,325,1,Visayas,2018-05-01
June,2018,Region VIII,503,4,Visayas,2018-06-01
July,2018,Region VIII,813,6,Visayas,2018-07-01
August,2018,Region VIII,1106,4,Visayas,2018-08-01
September,2018,Region VIII,1315,6,Visayas,2018-09-01
October,2018,Region VIII,1563,3,Visayas,2018-10-01
November,2018,Region VIII,1781,11,Visayas,2018-11-01
December,2018,Region VIII,2261,14,Visayas,2018-12-01
January,2019,Region VIII,1000,5,Visayas,2019-01-01
February,2019,Region VIII,1178,5,Visayas,2019-02-01
March,2019,Region VIII,815,1,Visayas,2019-03-01
April,2019,Region VIII,488,5,Visayas,2019-04-01
May,2019,Region VIII,427,3,Visayas,2019-05-01
June,2019,Region VIII,1031,4,Visayas,2019-06-01
July,2019,Region VIII,3699,11,Visayas,2019-07-01
August,2019,Region VIII,7557,19,Visayas,2019-08-01
September,2019,Region VIII,6084,9,Visayas,2019-09-01
October,2019,Region VIII,2634,4,Visayas,2019-10-01
